sample_id,label,platform,n_probes,dlrs
GSM2063108,MGUS,GPL11358,101728,0.0664087362803036
GSM2063109,MGUS,GPL11358,101492,0.07491965143013432
GSM2063110,MGUS,GPL11358,101745,0.06589341485168139
GSM2063111,MGUS,GPL11358,101787,0.06395051143489511
GSM2063112,MGUS,GPL11358,98395,0.057032727252284525
GSM2063113,MGUS,GPL11358,101079,0.10607293626417777
GSM2063114,MGUS,GPL11358,101369,0.06410034646801563
GSM2063115,MGUS,GPL11358,98216,0.08478351028687102
GSM2063116,MGUS,GPL11358,100814,0.06849369779299005
GSM2063117,MGUS,GPL11358,100677,0.0721752550814398
GSM2063118,MGUS,GPL11358,101846,0.07412496297093313
GSM2063119,MGUS,GPL11358,100014,0.07593332729518483
GSM2063120,MGUS,GPL11358,101481,0.1090617962268297
GSM2063121,MGUS,GPL11358,101720,0.09901795769032525
GSM2063122,MGUS,GPL11358,101316,0.0965410127021129
GSM2063123,MGUS,GPL11358,101512,0.07240321735424364
GSM2063124,MGUS,GPL11358,101499,0.07557161070425235
GSM2063125,MGUS,GPL11358,101520,0.05427674996724425
GSM2063126,MGUS,GPL11358,101772,0.05833998777243162
GSM2063127,MGUS,GPL11358,101825,0.06450273945321043
GSM2063128,MGUS,GPL11358,100906,0.06930829934398089
GSM2063129,MGUS,GPL11358,101663,0.07337639969052343
GSM2063130,MGUS,GPL11358,100875,0.09522938457928691
GSM2063131,MGUS,GPL11358,101543,0.0698015175858704
GSM2063132,MGUS,GPL11358,101625,0.05746204729024745
GSM2063133,MGUS,GPL11358,101462,0.05754873360020348
GSM2063134,MGUS,GPL11358,101727,0.06861002948323446
GSM2063135,MGUS,GPL11358,100970,0.08695904067017447
GSM2063136,MGUS,GPL11358,101226,0.07544429249769206
GSM2063137,MGUS,GPL11358,101016,0.07028829831474653
GSM2063138,MGUS,GPL11358,101652,0.05686314632235369
GSM2063139,MGUS,GPL11358,99202,0.08780990278561726
GSM2063140,MGUS,GPL11358,101668,0.0885247673621853
GSM2063141,MGUS,GPL11358,101747,0.07963467113099175
GSM2063142,MGUS,GPL11358,101737,0.07778629663943766
GSM2063143,MGUS,GPL11358,101764,0.06590037003831789
GSM2063144,MGUS,GPL11358,101685,0.055013812322420044
GSM2063145,MGUS,GPL11358,101721,0.07577777517356492
GSM2063146,MGUS,GPL11358,98775,0.11554843155575419
GSM2063147,MGUS,GPL11358,101615,0.05387573346551213
GSM2063148,MGUS,GPL11358,101773,0.05862197278785559
GSM2063149,MGUS,GPL11358,101815,0.06068719940141015
GSM2063150,MGUS,GPL11358,101757,0.07785914833715453
GSM2063151,MGUS,GPL11358,101764,0.052792737595227984
GSM2063152,MGUS,GPL11358,100946,0.1420639534962874
GSM2063153,MGUS,GPL11358,101770,0.07589513706311897
GSM2063154,MGUS,GPL11358,101031,0.08445397446478317
GSM2063155,MGUS,GPL11358,99585,0.05668405597323569
GSM2063156,MGUS,GPL11358,96926,0.060543420191506825
GSM2063157,MGUS,GPL11358,101276,0.0875683277501261
GSM2063158,MGUS,GPL11358,101499,0.0514285743577679
GSM2063159,MGUS,GPL11358,101264,0.052032996722621475
GSM2063160,MGUS,GPL11358,101432,0.0488374223001522
GSM2063161,MGUS,GPL11358,92492,0.06219502553750904
GSM2063162,MGUS,GPL11358,101657,0.07599539046441353
GSM2063163,MGUS,GPL11358,101635,0.07950894330035765
GSM2063164,MGUS,GPL11358,100718,0.07559901657621303
GSM2063165,MGUS,GPL11358,101338,0.07141708026222582
GSM2063166,MGUS,GPL11358,101309,0.05558908848133318
GSM2063167,MGUS,GPL11358,101551,0.05058862049376556
GSM2063168,MGUS,GPL11358,101094,0.09702466729952687
GSM2063169,MGUS,GPL11358,100919,0.0523925067922751
GSM2063170,MGUS,GPL11358,100835,0.06704565280618119
GSM2063171,MGUS,GPL11358,101388,0.06100619601631798
GSM2063172,MGUS,GPL11358,101531,0.0621013430939086
GSM2063173,MGUS,GPL11358,101510,0.050497309067289095
GSM2063174,MGUS,GPL11358,101114,0.06320252815297334
GSM2063175,MGUS,GPL11358,101299,0.06529410533013627
GSM2063176,MGUS,GPL11358,101005,0.054312716641634055
GSM2063177,MGUS,GPL11358,100924,0.0805573541587527
GSM2063178,MGUS,GPL11358,101132,0.08688706515334922
GSM2063179,MGUS,GPL11358,99459,0.07060138960498342
GSM2063180,MGUS,GPL11358,101113,0.06853346979572485
GSM2063181,MGUS,GPL11358,99779,0.05707180350166874
GSM2063182,MGUS,GPL11358,101385,0.05789185821726921
GSM2063183,MGUS,GPL11358,101263,0.05546101272075083
GSM2063184,MGUS,GPL11358,100896,0.0733810431545039
GSM2063185,MGUS,GPL11358,101020,0.10323741376318402
GSM2063186,MGUS,GPL11358,100940,0.12165564907923901
GSM2063187,MGUS,GPL11358,101708,0.052630188717476996
GSM2063188,MGUS,GPL11358,101595,0.06502902021396194
GSM2063189,MGUS,GPL11358,101732,0.05363359662061861
GSM2063190,MGUS,GPL11358,101676,0.05923223765745542
GSM2063191,MGUS,GPL11358,101167,0.10068812034880002
GSM2063192,MGUS,GPL11358,98939,0.11815394405353014
GSM2063193,MGUS,GPL11358,100900,0.06067586053946302
GSM2063194,MGUS,GPL11358,101430,0.11843545072902212
GSM2063195,MGUS,GPL11358,101641,0.06029433187256893
GSM2063196,MGUS,GPL11358,101359,0.05742943683379319
GSM2063197,MGUS,GPL11358,99182,0.08578023917458828
GSM2063211,MM,GPL11358,101279,0.05909169655120946
GSM2063212,MM,GPL11358,101481,0.04986994332351833
GSM2063213,MM,GPL11358,98812,0.08024786963266448
GSM2063214,MM,GPL11358,101780,0.061540025947729345
GSM2063215,MM,GPL11358,101500,0.06617219989679315
GSM2063216,MM,GPL11358,101872,0.05174189681844533
GSM2063217,MM,GPL11358,101753,0.054917306508754524
GSM2063218,MM,GPL11358,101363,0.05624195886048922
GSM2063219,MM,GPL11358,101759,0.05453996521192812
GSM2063220,MM,GPL11358,101397,0.08315229878389001
GSM2063221,MM,GPL11358,101696,0.0517575814220358
GSM2063222,MM,GPL11358,94519,0.10372228390694233
GSM2063223,MM,GPL11358,101402,0.08928970368593235
GSM2063224,MM,GPL11358,101540,0.06249992869268246
GSM2063225,MM,GPL11358,101548,0.10800168820139261
GSM2063226,MM,GPL11358,101666,0.08631991714857153
GSM2063227,MM,GPL16237,107529,0.08998947536183169
GSM2063228,MM,GPL16237,108042,0.07791178503365943
GSM2063229,MM,GPL16237,108222,0.07845475935555836
GSM2063230,MM,GPL16237,108361,0.06014561772936655
GSM2063231,MM,GPL16237,107946,0.07047532918684737
GSM2063232,MM,GPL16237,106489,0.08280122321493281
GSM2063233,MM,GPL16237,107815,0.06062855657205264
GSM2063234,MM,GPL10152,55689,0.12043206885725959
GSM2063235,MM,GPL10152,55660,0.12310971732855035
GSM2063236,MM,GPL10152,55174,0.13154915328580805
GSM2063237,MM,GPL10152,55565,0.10959526226928934
GSM2063238,MM,GPL10152,55274,0.09878362654051194
GSM2063239,MM,GPL21461,50256,0.10940314944825873
GSM2063240,MM,GPL21461,49857,0.11613698702088125
GSM2063241,MM,GPL21461,49841,0.08576780442044744
GSM2063242,MM,GPL21461,44896,0.0995704831671035
GSM2063243,MM,GPL21461,49491,0.10428298852572847
